workload	approachwithdrawal	engagement	arousal	Marker
7.2628e-01	-2.6184e-02	-4.3792e-01	1.3473e+00	0.0000e+00
7.3135e-01	-2.4052e-02	-4.3022e-01	1.3464e+00	0.0000e+00
7.3508e-01	-2.1392e-02	-4.2426e-01	1.3462e+00	0.0000e+00
7.3556e-01	-1.8170e-02	-4.2253e-01	1.3465e+00	0.0000e+00
7.2749e-01	-1.5428e-02	-4.2333e-01	1.3465e+00	0.0000e+00
7.0948e-01	-1.4244e-02	-4.2395e-01	1.3465e+00	0.0000e+00
6.8618e-01	-1.3994e-02	-4.2199e-01	1.3465e+00	0.0000e+00
6.6128e-01	-1.5418e-02	-4.1784e-01	1.3448e+00	0.0000e+00
6.3849e-01	-1.8074e-02	-4.1367e-01	1.3418e+00	0.0000e+00
6.2250e-01	-1.7711e-02	-4.1240e-01	1.3408e+00	0.0000e+00
6.1515e-01	-1.3028e-02	-4.1373e-01	1.3411e+00	0.0000e+00
6.1536e-01	-5.6294e-03	-4.1611e-01	1.3404e+00	0.0000e+00
6.2126e-01	2.5846e-05	-4.1925e-01	1.3387e+00	0.0000e+00
6.3356e-01	3.4861e-03	-4.2234e-01	1.3394e+00	0.0000e+00
6.5402e-01	4.5746e-03	-4.2706e-01	1.3414e+00	0.0000e+00
6.8214e-01	3.1885e-03	-4.3528e-01	1.3439e+00	0.0000e+00
7.1773e-01	-1.5365e-03	-4.4512e-01	1.3478e+00	0.0000e+00
7.5820e-01	-9.1761e-03	-4.5524e-01	1.3503e+00	0.0000e+00
7.9843e-01	-1.6279e-02	-4.6552e-01	1.3524e+00	0.0000e+00
8.3140e-01	-2.2064e-02	-4.7379e-01	1.3571e+00	0.0000e+00
8.5228e-01	-2.5839e-02	-4.7775e-01	1.3609e+00	0.0000e+00
8.6169e-01	-2.7358e-02	-4.7742e-01	1.3624e+00	0.0000e+00
8.6557e-01	-2.7060e-02	-4.7513e-01	1.3631e+00	0.0000e+00
8.6669e-01	-2.5863e-02	-4.7285e-01	1.3634e+00	0.0000e+00
8.6481e-01	-2.5611e-02	-4.7207e-01	1.3636e+00	0.0000e+00
8.6113e-01	-2.6651e-02	-4.7285e-01	1.3638e+00	0.0000e+00
8.5942e-01	-2.6265e-02	-4.7498e-01	1.3636e+00	0.0000e+00
8.6033e-01	-2.3280e-02	-4.7748e-01	1.3628e+00	0.0000e+00
8.6201e-01	-1.9296e-02	-4.7922e-01	1.3610e+00	0.0000e+00
8.6181e-01	-1.6345e-02	-4.7940e-01	1.3588e+00	0.0000e+00
8.5815e-01	-1.5337e-02	-4.7800e-01	1.3574e+00	0.0000e+00
8.5253e-01	-1.6095e-02	-4.7830e-01	1.3569e+00	0.0000e+00
8.4843e-01	-1.8006e-02	-4.8271e-01	1.3563e+00	0.0000e+00
8.4463e-01	-2.0664e-02	-4.8953e-01	1.3552e+00	0.0000e+00
8.3892e-01	-2.3289e-02	-4.9596e-01	1.3544e+00	0.0000e+00
8.3039e-01	-2.5005e-02	-4.9946e-01	1.3546e+00	0.0000e+00
8.2080e-01	-2.6231e-02	-4.9893e-01	1.3561e+00	0.0000e+00
8.1178e-01	-2.6962e-02	-4.9541e-01	1.3575e+00	0.0000e+00
8.0322e-01	-2.7066e-02	-4.9113e-01	1.3578e+00	0.0000e+00
7.9429e-01	-2.6417e-02	-4.8713e-01	1.3578e+00	0.0000e+00
7.8486e-01	-2.5827e-02	-4.8350e-01	1.3580e+00	0.0000e+00
7.7616e-01	-2.5520e-02	-4.8050e-01	1.3582e+00	0.0000e+00
7.6998e-01	-2.4712e-02	-4.7833e-01	1.3585e+00	0.0000e+00
7.6591e-01	-2.3858e-02	-4.7735e-01	1.3589e+00	0.0000e+00
7.6267e-01	-2.3475e-02	-4.7750e-01	1.3589e+00	0.0000e+00
7.6120e-01	-2.2995e-02	-4.7875e-01	1.3587e+00	0.0000e+00
7.5885e-01	-2.3584e-02	-4.8034e-01	1.3582e+00	0.0000e+00
7.5549e-01	-2.4103e-02	-4.8112e-01	1.3574e+00	0.0000e+00
7.5025e-01	-2.4112e-02	-4.8004e-01	1.3564e+00	0.0000e+00
7.4389e-01	-2.3860e-02	-4.7786e-01	1.3550e+00	0.0000e+00
7.3871e-01	-2.4542e-02	-4.7685e-01	1.3543e+00	0.0000e+00
7.3548e-01	-2.5675e-02	-4.7801e-01	1.3536e+00	0.0000e+00
7.3280e-01	-2.7438e-02	-4.7966e-01	1.3530e+00	0.0000e+00
7.3036e-01	-3.0289e-02	-4.8121e-01	1.3530e+00	0.0000e+00
7.2932e-01	-3.2922e-02	-4.8340e-01	1.3524e+00	0.0000e+00
7.3048e-01	-3.5105e-02	-4.8684e-01	1.3505e+00	0.0000e+00
7.3329e-01	-3.7048e-02	-4.9218e-01	1.3470e+00	0.0000e+00
7.3814e-01	-3.9025e-02	-5.0051e-01	1.3417e+00	0.0000e+00
7.4525e-01	-4.1575e-02	-5.1166e-01	1.3376e+00	0.0000e+00
7.5399e-01	-4.5046e-02	-5.2355e-01	1.3340e+00	0.0000e+00
