Timestamp	workload	stress	Marker
3.4660e+03	1.9976e+00	1.0574e+00	0.0000e+00	0.0000e+00
3.4661e+03	1.9988e+00	1.0580e+00	0.0000e+00	0.0000e+00
3.4662e+03	2.0004e+00	1.0586e+00	0.0000e+00	0.0000e+00
3.4663e+03	2.0014e+00	1.0592e+00	0.0000e+00	0.0000e+00
3.4664e+03	2.0026e+00	1.0597e+00	0.0000e+00	0.0000e+00
3.4665e+03	2.0037e+00	1.0602e+00	0.0000e+00	0.0000e+00
3.4666e+03	2.0047e+00	1.0608e+00	0.0000e+00	0.0000e+00
3.4667e+03	2.0059e+00	1.0615e+00	0.0000e+00	0.0000e+00
3.4668e+03	2.0070e+00	1.0621e+00	0.0000e+00	0.0000e+00
3.4669e+03	2.0081e+00	1.0628e+00	0.0000e+00	0.0000e+00
3.4670e+03	2.0093e+00	1.0636e+00	0.0000e+00	0.0000e+00
3.4671e+03	2.0081e+00	1.0634e+00	0.0000e+00	0.0000e+00
3.4672e+03	2.0080e+00	1.0641e+00	0.0000e+00	0.0000e+00
3.4673e+03	2.0079e+00	1.0649e+00	0.0000e+00	0.0000e+00
3.4674e+03	2.0075e+00	1.0656e+00	0.0000e+00	0.0000e+00
3.4675e+03	2.0071e+00	1.0664e+00	0.0000e+00	0.0000e+00
3.4676e+03	2.0061e+00	1.0674e+00	0.0000e+00	0.0000e+00
3.4677e+03	2.0046e+00	1.0686e+00	0.0000e+00	0.0000e+00
3.4678e+03	2.0038e+00	1.0697e+00	0.0000e+00	0.0000e+00
3.4679e+03	2.0021e+00	1.0711e+00	0.0000e+00	0.0000e+00
3.4680e+03	2.0006e+00	1.0722e+00	0.0000e+00	0.0000e+00
3.4681e+03	1.9990e+00	1.0733e+00	0.0000e+00	0.0000e+00
3.4682e+03	1.9974e+00	1.0744e+00	0.0000e+00	0.0000e+00
3.4683e+03	1.9950e+00	1.0756e+00	0.0000e+00	0.0000e+00
3.4684e+03	1.9931e+00	1.0766e+00	0.0000e+00	0.0000e+00
3.4685e+03	1.9912e+00	1.0776e+00	0.0000e+00	0.0000e+00
3.4686e+03	1.9888e+00	1.0785e+00	0.0000e+00	0.0000e+00
3.4687e+03	1.9864e+00	1.0793e+00	0.0000e+00	0.0000e+00
3.4688e+03	1.9841e+00	1.0800e+00	0.0000e+00	0.0000e+00
