WL	EN	AR	Marker
1.4815e+00	2.1329e-01	2.0231e+00	0.0000e+00
1.4912e+00	2.1234e-01	2.0170e+00	0.0000e+00
1.4951e+00	2.1264e-01	2.0125e+00	0.0000e+00
1.4891e+00	2.1343e-01	2.0080e+00	0.0000e+00
1.4725e+00	2.1442e-01	2.0037e+00	0.0000e+00
1.4495e+00	2.1550e-01	2.0007e+00	0.0000e+00
1.4268e+00	2.1661e-01	2.0001e+00	0.0000e+00
1.4113e+00	2.1771e-01	2.0064e+00	0.0000e+00
1.4072e+00	2.1864e-01	2.0256e+00	0.0000e+00
1.4136e+00	2.1907e-01	2.0558e+00	0.0000e+00
1.4251e+00	2.1885e-01	2.0782e+00	0.0000e+00
1.4369e+00	2.1826e-01	2.0955e+00	0.0000e+00
1.4473e+00	2.1764e-01	2.1088e+00	0.0000e+00
1.4557e+00	2.1722e-01	2.1156e+00	0.0000e+00
1.4629e+00	2.1700e-01	2.1182e+00	0.0000e+00
1.4701e+00	2.1690e-01	2.1168e+00	0.0000e+00
1.4754e+00	2.1698e-01	2.1115e+00	0.0000e+00
1.4803e+00	2.1788e-01	2.1030e+00	0.0000e+00
1.4735e+00	2.1913e-01	2.0908e+00	0.0000e+00
1.4559e+00	2.2030e-01	2.0751e+00	0.0000e+00
1.4422e+00	2.2097e-01	2.0551e+00	0.0000e+00
1.4432e+00	2.2123e-01	2.0320e+00	0.0000e+00
1.4618e+00	2.2122e-01	2.0088e+00	0.0000e+00
1.4954e+00	2.2088e-01	1.9870e+00	0.0000e+00
1.4970e+00	2.2134e-01	1.9679e+00	0.0000e+00
1.5062e+00	2.2067e-01	1.9511e+00	0.0000e+00
1.5163e+00	2.2007e-01	1.9391e+00	0.0000e+00
1.5273e+00	2.1938e-01	1.9324e+00	0.0000e+00
1.5393e+00	2.1843e-01	1.9351e+00	0.0000e+00
1.5519e+00	2.1727e-01	1.9441e+00	0.0000e+00
1.5646e+00	2.1613e-01	1.9596e+00	0.0000e+00
1.5772e+00	2.1522e-01	1.9800e+00	0.0000e+00
1.5902e+00	2.1429e-01	1.9946e+00	0.0000e+00
1.6043e+00	2.1319e-01	2.0048e+00	0.0000e+00
1.6193e+00	2.1196e-01	2.0109e+00	0.0000e+00
1.6353e+00	2.1070e-01	2.0126e+00	0.0000e+00
1.6504e+00	2.1005e-01	2.0129e+00	0.0000e+00
1.6637e+00	2.0969e-01	2.0139e+00	0.0000e+00
1.6745e+00	2.0936e-01	2.0147e+00	0.0000e+00
1.6848e+00	2.0876e-01	2.0138e+00	0.0000e+00
1.6973e+00	2.0759e-01	2.0107e+00	0.0000e+00
1.7036e+00	2.0661e-01	2.0066e+00	0.0000e+00
1.7125e+00	2.0461e-01	2.0027e+00	0.0000e+00
1.7323e+00	2.0127e-01	1.9986e+00	0.0000e+00
1.7676e+00	1.9706e-01	1.9936e+00	0.0000e+00
1.8141e+00	1.9279e-01	1.9877e+00	0.0000e+00
1.8623e+00	1.8889e-01	1.9809e+00	0.0000e+00
1.9043e+00	1.8564e-01	1.9735e+00	0.0000e+00
1.9381e+00	1.8303e-01	1.9657e+00	0.0000e+00
1.9676e+00	1.8102e-01	1.9571e+00	0.0000e+00
1.9886e+00	1.8034e-01	1.9505e+00	0.0000e+00
1.9954e+00	1.8098e-01	1.9464e+00	0.0000e+00
1.9886e+00	1.8190e-01	1.9423e+00	0.0000e+00
1.9623e+00	1.8313e-01	1.9390e+00	0.0000e+00
1.9216e+00	1.8454e-01	1.9353e+00	0.0000e+00
1.8760e+00	1.8608e-01	1.9321e+00	0.0000e+00
1.8386e+00	1.8767e-01	1.9288e+00	0.0000e+00
1.8199e+00	1.8915e-01	1.9263e+00	0.0000e+00
1.8236e+00	1.9002e-01	1.9242e+00	0.0000e+00
1.8430e+00	1.8881e-01	1.9237e+00	0.0000e+00
1.8661e+00	1.8714e-01	1.9239e+00	0.0000e+00
1.8916e+00	1.8533e-01	1.9249e+00	0.0000e+00
1.9176e+00	1.8419e-01	1.9263e+00	0.0000e+00
1.9388e+00	1.8428e-01	1.9273e+00	0.0000e+00
1.9544e+00	1.8485e-01	1.9277e+00	0.0000e+00
1.9664e+00	1.8555e-01	1.9263e+00	0.0000e+00
1.9781e+00	1.8625e-01	1.9237e+00	0.0000e+00
1.9919e+00	1.8678e-01	1.9199e+00	0.0000e+00
2.0046e+00	1.8743e-01	1.9171e+00	0.0000e+00
2.0172e+00	1.8793e-01	1.9149e+00	0.0000e+00
2.0326e+00	1.8807e-01	1.9117e+00	0.0000e+00
2.0532e+00	1.8745e-01	1.9079e+00	0.0000e+00
2.0772e+00	1.8604e-01	1.9050e+00	0.0000e+00
2.0772e+00	1.8604e-01	1.9010e+00	0.0000e+00
2.0772e+00	1.8604e-01	1.8965e+00	0.0000e+00
2.0772e+00	1.8604e-01	1.8909e+00	0.0000e+00
