Timestamp	GSR	PPG	Marker	MarkerTimestamp
2337281.155	1.909	906.227	0.000	0.000
2337281.170	1.915	1081.319	0.000	0.000
2337281.186	1.909	1416.850	0.000	0.000
2337281.202	1.900	1882.784	0.000	0.000
2337281.217	1.905	2405.128	0.000	0.000
2337281.233	1.912	2800.733	0.000	0.000
2337281.248	1.914	2800.733	0.000	0.000
2337281.264	1.905	2800.000	0.000	0.000
2337281.278	1.899	2800.733	0.000	0.000
2337281.294	1.908	2801.465	0.000	0.000
2337281.310	1.914	2800.733	0.000	0.000
2337281.325	1.906	2800.000	0.000	0.000
2337281.341	1.900	2771.428	0.000	0.000
2337281.357	1.900	2580.952	0.000	0.000
2337281.372	1.909	2342.125	0.000	0.000
2337281.388	1.912	2109.890	0.000	0.000
2337281.401	1.903	1890.110	0.000	0.000
2337281.417	1.896	1690.843	0.000	0.000
2337281.432	1.905	1519.414	0.000	0.000
2337281.448	1.909	1386.081	0.000	0.000
2337281.464	1.906	1306.227	0.000	0.000
2337281.479	1.899	1271.795	0.000	0.000
2337281.495	1.897	1274.725	0.000	0.000
2337281.510	1.905	1292.308	0.000	0.000
2337281.526	1.911	1305.495	0.000	0.000
2337281.542	1.902	1298.901	0.000	0.000
2337281.557	1.896	1276.923	0.000	0.000
2337281.573	1.900	1237.363	0.000	0.000
2337281.589	1.908	1174.359	0.000	0.000
2337281.604	1.906	1106.960	0.000	0.000
2337281.620	1.899	1049.084	0.000	0.000
2337281.635	1.894	992.674	0.000	0.000
2337281.650	1.903	939.927	0.000	0.000
2337281.666	1.908	892.308	0.000	0.000
2337281.681	1.902	864.469	0.000	0.000
2337281.697	1.894	862.271	0.000	0.000
2337281.712	1.899	878.388	0.000	0.000
2337281.728	1.903	896.703	0.000	0.000
2337281.744	1.906	904.762	0.000	0.000
2337281.759	1.896	905.495	0.000	0.000
2337281.777	1.893	915.751	0.000	0.000
2337281.793	1.900	929.670	0.000	0.000
2337281.809	1.908	938.462	0.000	0.000
2337281.824	1.900	939.927	0.000	0.000
2337281.840	1.894	933.333	0.000	0.000
2337281.855	1.894	924.542	0.000	0.000
2337281.871	1.903	912.820	0.000	0.000
2337281.887	1.905	898.901	0.000	0.000
2337281.897	1.897	896.703	0.000	0.000
2337281.913	1.890	894.505	0.000	0.000
2337281.929	1.899	890.842	0.000	0.000
2337281.944	1.903	884.249	0.000	0.000
2337281.960	1.900	882.051	0.000	0.000
2337281.976	1.891	879.853	0.000	0.000
2337281.991	1.891	874.725	0.000	0.000
2337282.007	1.900	875.458	0.000	0.000
2337282.026	1.905	881.319	0.000	0.000
2337282.042	1.896	884.982	0.000	0.000
2337282.057	1.888	882.784	0.000	0.000
2337282.073	1.894	873.260	0.000	0.000
2337282.089	1.902	873.993	0.000	0.000
2337282.104	1.900	896.703	0.000	0.000
2337282.120	1.893	977.289	0.000	0.000
2337282.135	1.888	1173.626	0.000	0.000
2337282.155	1.897	1519.414	0.000	0.000
2337282.170	1.903	1982.418	0.000	0.000
2337282.186	1.896	2479.121	0.000	0.000
2337282.202	1.890	2800.733	0.000	0.000
2337282.217	1.893	2800.733	0.000	0.000
2337282.233	1.900	2800.000	0.000	0.000
2337282.249	1.900	2800.733	0.000	0.000
2337282.264	1.891	2800.000	0.000	0.000
2337282.274	1.888	2800.733	0.000	0.000
2337282.289	1.896	2775.824	0.000	0.000
2337282.305	1.902	2584.615	0.000	0.000
2337282.320	1.896	2352.381	0.000	0.000
2337282.336	1.888	2138.461	0.000	0.000
2337282.352	1.890	1931.135	0.000	0.000
2337282.367	1.899	1741.392	0.000	0.000
2337282.383	1.902	1572.894	0.000	0.000
2337282.411	1.891	1431.502	0.000	0.000
2337282.427	1.884	1320.146	0.000	0.000
2337282.442	1.894	1259.341	0.000	0.000
2337282.458	1.900	1243.956	0.000	0.000
2337282.474	1.894	1260.073	0.000	0.000
2337282.489	1.887	1286.447	0.000	0.000
2337282.505	1.888	1296.703	0.000	0.000
2337282.521	1.897	1292.308	0.000	0.000
2337282.534	1.900	1267.399	0.000	0.000
2337282.549	1.891	1225.641	0.000	0.000
2337282.565	1.884	1175.824	0.000	0.000
2337282.580	1.890	1118.681	0.000	0.000
2337282.596	1.899	1054.945	0.000	0.000
2337282.612	1.894	986.813	0.000	0.000
2337282.627	1.887	934.799	0.000	0.000
2337282.643	1.884	906.227	0.000	0.000
2337282.656	1.894	893.040	0.000	0.000
2337282.672	1.899	888.645	0.000	0.000
2337282.687	1.891	895.238	0.000	0.000
2337282.703	1.882	912.820	0.000	0.000
2337282.719	1.890	931.136	0.000	0.000
2337282.734	1.896	941.392	0.000	0.000
2337282.750	1.896	947.985	0.000	0.000
2337282.765	1.887	943.590	0.000	0.000
2337282.775	1.884	935.531	0.000	0.000
2337282.790	1.891	933.333	0.000	0.000
2337282.806	1.897	925.275	0.000	0.000
2337282.822	1.890	919.414	0.000	0.000
2337282.837	1.884	919.414	0.000	0.000
2337282.853	1.885	915.751	0.000	0.000
2337282.869	1.894	911.355	0.000	0.000
2337282.884	1.894	912.820	0.000	0.000
2337282.935	1.887	912.088	0.000	0.000
2337282.950	1.881	898.169	0.000	0.000
2337282.966	1.888	877.656	0.000	0.000
2337282.982	1.896	862.271	0.000	0.000
2337282.997	1.890	854.212	0.000	0.000
2337283.013	1.882	844.689	0.000	0.000
2337283.029	1.884	845.421	0.000	0.000
2337283.044	1.891	854.945	0.000	0.000
2337283.031	1.894	866.667	0.000	0.000
2337283.047	1.885	867.399	0.000	0.000
2337283.062	1.879	865.934	0.000	0.000
2337283.078	1.887	876.923	0.000	0.000
2337283.094	1.894	927.473	0.000	0.000
2337283.109	1.890	1071.795	0.000	0.000
2337283.125	1.882	1364.835	0.000	0.000
2337283.141	1.881	1797.802	0.000	0.000
2337283.160	1.890	2298.168	0.000	0.000
2337283.175	1.894	2761.905	0.000	0.000
2337283.191	1.887	2800.733	0.000	0.000
2337283.207	1.879	2800.000	0.000	0.000
2337283.222	1.887	2801.465	0.000	0.000
2337283.238	1.893	2800.000	0.000	0.000
2337283.254	1.891	2800.733	0.000	0.000
2337283.269	1.882	2731.135	0.000	0.000
2337283.284	1.879	2509.157	1.000	2337283.420
2337283.299	1.888	2263.736	1.000	2337283.420
2337283.315	1.894	2047.619	1.000	2337283.420
2337283.330	1.887	1865.201	1.000	2337283.420
2337283.346	1.879	1701.832	1.000	2337283.420
2337283.362	1.882	1558.242	1.000	2337283.420
2337283.377	1.891	1438.828	1.000	2337283.420
2337283.393	1.891	1345.788	1.000	2337283.420
2337283.404	1.882	1293.773	0.000	0.000
2337283.419	1.878	1280.586	0.000	0.000
2337283.435	1.887	1292.308	0.000	0.000
2337283.450	1.893	1317.216	0.000	0.000
2337283.466	1.887	1332.601	0.000	0.000
2337283.482	1.879	1332.601	0.000	0.000
2337283.497	1.881	1309.157	0.000	0.000
2337283.513	1.888	1263.004	0.000	0.000
2337283.524	1.891	1202.198	0.000	0.000
2337283.539	1.881	1128.205	0.000	0.000
2337283.555	1.878	1055.678	0.000	0.000
2337283.570	1.884	994.139	0.000	0.000
2337283.586	1.891	950.916	0.000	0.000
2337283.602	1.885	921.612	0.000	0.000
2337283.617	1.879	906.227	0.000	0.000
2337283.633	1.878	896.703	0.000	0.000
2337283.650	1.887	901.831	0.000	0.000
2337283.665	1.891	913.553	0.000	0.000
2337283.681	1.882	928.938	0.000	0.000
2337283.697	1.875	947.985	0.000	0.000
2337283.712	1.882	962.637	0.000	0.000
2337283.728	1.888	969.231	0.000	0.000
2337283.744	1.887	963.370	0.000	0.000
2337283.759	1.878	953.846	0.000	0.000
2337283.777	1.876	942.125	0.000	0.000
2337283.793	1.885	926.007	0.000	0.000
2337283.809	1.891	910.623	0.000	0.000
2337283.824	1.882	898.901	0.000	0.000
2337283.840	1.875	894.505	0.000	0.000
2337283.855	1.879	893.040	0.000	0.000
2337283.871	1.888	893.040	0.000	0.000
2337283.887	1.887	895.971	0.000	0.000
2337283.915	1.879	901.831	0.000	0.000
2337283.930	1.875	904.762	0.000	0.000
2337283.946	1.884	909.890	0.000	0.000
2337283.962	1.890	909.890	0.000	0.000
2337283.977	1.882	895.971	0.000	0.000
2337283.993	1.875	876.923	0.000	0.000
2337284.009	1.879	867.399	0.000	0.000
2337284.024	1.885	862.271	0.000	0.000
2337284.022	1.888	854.212	0.000	0.000
2337284.038	1.878	849.817	0.000	0.000
2337284.054	1.873	873.993	0.000	0.000
2337284.069	1.881	958.974	0.000	0.000
2337284.085	1.888	1150.916	0.000	0.000
2337284.100	1.882	1477.656	0.000	0.000
2337284.116	1.876	1923.810	0.000	0.000
2337284.132	1.876	2419.780	0.000	0.000
2337284.160	1.885	2800.000	0.000	0.000
2337284.175	1.888	2800.000	0.000	0.000
2337284.191	1.881	2800.733	0.000	0.000
2337284.207	1.873	2800.000	0.000	0.000
2337284.222	1.881	2800.733	0.000	0.000
2337284.238	1.887	2800.000	0.000	0.000
2337284.254	1.885	2694.506	0.000	0.000
2337284.269	1.875	2457.143	0.000	0.000
2337284.274	1.876	2210.256	0.000	0.000
2337284.289	1.884	2000.000	0.000	0.000
2337284.305	1.890	1819.780	0.000	0.000
2337284.320	1.879	1657.143	0.000	0.000
2337284.336	1.873	1511.355	0.000	0.000
2337284.352	1.879	1390.476	0.000	0.000
2337284.367	1.887	1308.425	0.000	0.000
2337284.383	1.884	1265.934	0.000	0.000
2337284.398	1.876	1260.073	0.000	0.000
2337284.414	1.873	1283.516	0.000	0.000
2337284.430	1.882	1318.681	0.000	0.000
2337284.445	1.887	1337.729	0.000	0.000
2337284.461	1.881	1339.194	0.000	0.000
2337284.477	1.873	1320.146	0.000	0.000
2337284.492	1.879	1279.854	0.000	0.000
2337284.508	1.885	1213.919	0.000	0.000
2337284.536	1.887	1147.985	0.000	0.000
2337284.552	1.878	1076.923	0.000	0.000
2337284.567	1.873	1008.791	0.000	0.000
2337284.583	1.881	949.451	0.000	0.000
