Timestamp	approachwithdrawal	arousal	Marker
607042.741	-0.246	1.375	0.000
607042.960	-0.247	1.374	0.000
607043.208	-0.249	1.372	0.000
607043.410	-0.252	1.370	0.000
607043.650	-0.252	1.369	0.000
607043.863	-0.252	1.367	0.000
607044.085	-0.253	1.365	0.000
607044.304	-0.254	1.364	0.000
607044.311	-0.255	1.364	0.000
607044.531	-0.256	1.362	0.000
607044.770	-0.258	1.360	0.000
607044.980	-0.262	1.359	0.000
607045.219	-0.266	1.357	0.000
607045.438	-0.266	1.355	0.000
607045.657	-0.266	1.354	0.000
607045.878	-0.271	1.352	0.000
607046.111	-0.276	1.350	0.000
607046.118	-0.281	1.349	0.000
607046.377	-0.285	1.347	0.000
607046.581	-0.289	1.345	0.000
607046.816	-0.293	1.344	0.000
607047.036	-0.297	1.342	0.000
607047.255	-0.300	1.340	0.000
607047.504	-0.301	1.339	0.000
607047.710	-0.302	1.337	0.000
607047.716	-0.304	1.337	0.000
607047.947	-0.306	1.336	0.000
607048.154	-0.308	1.334	0.000
607048.405	-0.308	1.332	0.000
607048.625	-0.308	1.331	0.000
607048.841	-0.308	1.329	0.000
607049.076	-0.311	1.328	0.000
607049.297	-0.315	1.326	0.000
607049.307	-0.319	1.326	0.000
607049.536	-0.323	1.324	0.000
607049.758	-0.323	1.323	0.000
607049.972	-0.323	1.321	0.000
607050.206	-0.326	1.320	0.000
607050.424	-0.329	1.318	0.000
607050.645	-0.333	1.317	0.000
607050.877	-0.338	1.315	0.000
607051.095	-0.340	1.314	0.000
607051.102	-0.343	1.314	0.000
607051.311	-0.344	1.312	0.000
607051.546	-0.349	1.311	0.000
607051.775	-0.352	1.309	0.000
607051.987	-0.355	1.308	0.000
607052.222	-0.359	1.306	0.000
607052.443	-0.362	1.305	0.000
607052.663	-0.363	1.303	0.000
607052.881	-0.364	1.302	0.000
607053.117	-0.365	1.300	0.000
607053.124	-0.363	1.300	0.000
607053.352	-0.361	1.299	0.000
607053.557	-0.359	1.297	0.000
607053.792	-0.356	1.296	0.000
607053.999	-0.356	1.295	0.000
607054.233	-0.356	1.293	0.000
607054.455	-0.356	1.292	0.000
607054.675	-0.356	1.291	0.000
607054.895	-0.356	1.289	0.000
607054.903	-0.356	1.288	0.000
607055.135	-0.356	1.287	0.000
607055.354	-0.356	1.285	0.000
607055.588	-0.356	1.284	0.000
607055.795	-0.356	1.283	0.000
607056.015	-0.356	1.281	0.000
607056.253	-0.356	1.280	0.000
607056.468	-0.356	1.279	1.000
607056.687	-0.355	1.278	0.000
607056.694	-0.354	1.278	0.000
607056.924	-0.352	1.276	0.000
607057.144	-0.350	1.275	0.000
607057.366	-0.349	1.274	0.000
607057.601	-0.350	1.273	0.000
607057.826	-0.351	1.271	0.000
607058.058	-0.351	1.270	0.000
607058.267	-0.351	1.269	0.000
607058.505	-0.352	1.268	0.000
607058.703	-0.353	1.267	1.000
607058.709	-0.355	1.267	0.000
607058.928	-0.358	1.265	0.000
607059.175	-0.361	1.264	0.000
607059.395	-0.363	1.263	0.000
607059.598	-0.365	1.262	0.000
607059.835	-0.366	1.261	0.000
607060.079	-0.373	1.260	0.000
607060.280	-0.379	1.258	0.000
607060.500	-0.383	1.257	0.000
607060.506	-0.383	1.257	0.000
607060.736	-0.382	1.256	0.000
607060.957	-0.381	1.255	0.000
607061.162	-0.379	1.254	0.000
607061.396	-0.375	1.253	0.000
607061.636	-0.372	1.252	0.000
607061.839	-0.369	1.251	0.000
607062.080	-0.366	1.250	0.000
607062.295	-0.362	1.249	0.000
607062.305	-0.359	1.248	0.000
607062.520	-0.357	1.247	0.000
607062.754	-0.356	1.246	0.000
607062.974	-0.356	1.244	0.000
607063.203	-0.354	1.243	0.000
607063.420	-0.353	1.242	0.000
607063.645	-0.353	1.241	0.000
607063.863	-0.354	1.240	0.000
607064.081	-0.356	1.239	0.000
607064.302	-0.358	1.238	0.000
607064.309	-0.358	1.238	0.000
607064.537	-0.358	1.237	0.000
607064.758	-0.357	1.236	0.000
607064.981	-0.355	1.236	0.000
607065.217	-0.354	1.235	0.000
607065.436	-0.352	1.234	0.000
607065.660	-0.354	1.233	0.000
607065.883	-0.357	1.232	0.000
607066.097	-0.360	1.231	0.000
607066.108	-0.364	1.230	0.000
607066.329	-0.367	1.229	0.000
607066.545	-0.370	1.228	0.000
607066.768	-0.373	1.228	0.000
607067.009	-0.376	1.227	0.000
607067.228	-0.378	1.226	0.000
607067.453	-0.380	1.225	0.000
607067.676	-0.382	1.225	0.000
607067.898	-0.382	1.224	0.000
607067.907	-0.382	1.223	0.000
607068.136	-0.382	1.223	0.000
607068.357	-0.382	1.222	0.000
607068.562	-0.382	1.221	0.000
607068.799	-0.378	1.221	0.000
607069.011	-0.373	1.220	0.000
607069.233	-0.369	1.220	0.000
607069.470	-0.367	1.219	0.000
607069.699	-0.365	1.219	0.000
607069.934	-0.364	1.218	0.000
607069.952	-0.363	1.218	0.000
607070.130	-0.364	1.218	0.000
607070.363	-0.365	1.217	0.000
607070.587	-0.367	1.217	0.000
607070.819	-0.369	1.217	0.000
607071.042	-0.372	1.216	0.000
607071.242	-0.376	1.216	0.000
607071.473	-0.378	1.216	0.000
607071.703	-0.379	1.215	0.000
607071.711	-0.380	1.215	0.000
607071.921	-0.382	1.215	0.000
607072.157	-0.382	1.215	0.000
607072.400	-0.384	1.215	0.000
607072.596	-0.384	1.215	0.000
607072.831	-0.386	1.214	0.000
607073.055	-0.389	1.214	0.000
607073.270	-0.392	1.214	0.000
607073.505	-0.393	1.214	0.000
607073.517	-0.395	1.214	0.000
607073.706	-0.398	1.214	0.000
607073.942	-0.399	1.213	0.000
607074.175	-0.400	1.213	0.000
607074.398	-0.401	1.213	0.000
607074.613	-0.402	1.213	0.000
607074.832	-0.401	1.213	0.000
607075.068	-0.400	1.213	0.000
607075.288	-0.398	1.213	0.000
607075.517	-0.398	1.213	0.000
607075.528	-0.398	1.213	0.000
607075.745	-0.395	1.213	0.000
607075.973	-0.392	1.213	0.000
607076.197	-0.389	1.213	0.000
607076.420	-0.386	1.213	0.000
607076.643	-0.383	1.213	0.000
607076.863	-0.380	1.213	0.000
607077.081	-0.378	1.213	0.000
607077.306	-0.376	1.213	0.000
607077.323	-0.370	1.213	0.000
607077.544	-0.363	1.213	0.000
607077.760	-0.359	1.213	0.000
607077.977	-0.355	1.213	0.000
607078.203	-0.349	1.213	0.000
607078.427	-0.343	1.213	0.000
607078.665	-0.338	1.212	0.000
607078.867	-0.334	1.212	0.000
607079.097	-0.327	1.212	0.000
607079.112	-0.320	1.212	0.000
607079.320	-0.314	1.212	0.000
607079.556	-0.306	1.212	0.000
607079.763	-0.304	1.212	0.000
607080.003	-0.301	1.211	0.000
607080.227	-0.296	1.211	0.000
607080.452	-0.293	1.211	0.000
607080.670	-0.288	1.211	0.000
607080.889	-0.282	1.211	0.000
607081.129	-0.278	1.210	0.000
607081.143	-0.274	1.210	0.000
607081.352	-0.274	1.210	0.000
607081.571	-0.269	1.210	0.000
607081.788	-0.266	1.209	0.000
607082.013	-0.266	1.209	0.000
607082.240	-0.262	1.209	0.000
607082.454	-0.260	1.208	0.000
607082.696	-0.259	1.208	0.000
607082.918	-0.259	1.207	0.000
607082.933	-0.259	1.207	0.000
607083.139	-0.259	1.206	0.000
607083.357	-0.261	1.206	0.000
607083.595	-0.262	1.205	0.000
607083.806	-0.264	1.204	0.000
607084.029	-0.264	1.204	0.000
607084.254	-0.263	1.203	0.000
607084.475	-0.262	1.203	0.000
607084.695	-0.260	1.202	0.000
607084.712	-0.260	1.201	0.000
607084.920	-0.259	1.201	0.000
607085.160	-0.257	1.200	0.000
607085.382	-0.256	1.199	0.000
607085.612	-0.254	1.199	0.000
607085.821	-0.252	1.198	0.000
607086.079	-0.250	1.197	0.000
607086.317	-0.248	1.196	0.000
607086.333	-0.246	1.196	0.000
607086.522	-0.243	1.196	0.000
607086.741	-0.240	1.195	0.000
607086.970	-0.240	1.194	0.000
607087.190	-0.240	1.193	0.000
607087.432	-0.240	1.192	0.000
607087.650	-0.240	1.192	0.000
607087.890	-0.240	1.191	0.000
607088.097	-0.240	1.190	0.000
607088.330	-0.240	1.189	0.000
607088.347	-0.240	1.189	0.000
607088.536	-0.240	1.188	0.000
607088.777	-0.240	1.187	0.000
607088.993	-0.240	1.186	0.000
607089.218	-0.240	1.186	0.000
607089.440	-0.240	1.185	0.000
607089.665	-0.240	1.184	0.000
607089.886	-0.240	1.183	0.000
607090.110	-0.234	1.183	0.000
607090.124	-0.229	1.183	0.000
607090.349	-0.225	1.182	0.000
607090.557	-0.230	1.181	0.000
607090.791	-0.232	1.181	0.000
607091.014	-0.233	1.180	0.000
607091.254	-0.232	1.179	0.000
607091.452	-0.232	1.178	0.000
607091.674	-0.233	1.178	0.000
607091.905	-0.232	1.177	0.000
607091.937	-0.232	1.176	0.000
607092.135	-0.231	1.176	0.000
607092.374	-0.230	1.175	0.000
607092.596	-0.228	1.175	0.000
607092.815	-0.226	1.174	0.000
607093.036	-0.226	1.173	0.000
607093.258	-0.225	1.173	0.000
607093.498	-0.225	1.172	0.000
607093.677	-0.225	1.171	0.000
607093.917	-0.226	1.171	0.000
607093.942	-0.225	1.170	0.000
607094.136	-0.226	1.170	0.000
607094.369	-0.228	1.169	0.000
607094.594	-0.230	1.168	0.000
607094.830	-0.234	1.168	0.000
607095.036	-0.237	1.167	0.000
607095.291	-0.242	1.167	0.000
607095.477	-0.246	1.166	0.000
607095.722	-0.245	1.166	0.000
607095.733	-0.243	1.165	0.000
607095.926	-0.240	1.164	0.000
607096.143	-0.237	1.164	0.000
607096.383	-0.235	1.163	0.000
607096.608	-0.232	1.163	0.000
607096.862	-0.230	1.162	0.000
607097.107	-0.227	1.162	0.000
607097.307	-0.226	1.161	0.000
607097.323	-0.226	1.160	0.000
607097.540	-0.226	1.160	0.000
607097.770	-0.226	1.159	0.000
607098.008	-0.226	1.159	0.000
607098.194	-0.226	1.158	0.000
607098.434	-0.226	1.157	0.000
607098.653	-0.226	1.157	0.000
607098.882	-0.228	1.156	0.000
607099.092	-0.230	1.156	0.000
607099.109	-0.233	1.156	0.000
607099.326	-0.234	1.155	0.000
607099.546	-0.234	1.155	0.000
607099.775	-0.233	1.154	0.000
607100.009	-0.233	1.153	0.000
607100.229	-0.231	1.153	0.000
607100.455	-0.225	1.152	0.000
607100.665	-0.219	1.152	0.000
607100.884	-0.212	1.151	0.000
607101.110	-0.205	1.150	0.000
607101.125	-0.197	1.150	0.000
607101.376	-0.187	1.150	0.000
607101.597	-0.177	1.149	0.000
607101.811	-0.168	1.149	0.000
607102.055	-0.158	1.148	0.000
607102.276	-0.154	1.148	0.000
607102.516	-0.144	1.147	0.000
607102.720	-0.134	1.146	0.000
607102.737	-0.123	1.146	0.000
607102.941	-0.113	1.145	0.000
607103.170	-0.103	1.145	0.000
607103.391	-0.094	1.144	0.000
607103.607	-0.086	1.144	0.000
607103.832	-0.076	1.143	0.000
607104.052	-0.072	1.142	0.000
607104.293	-0.068	1.142	0.000
607104.512	-0.066	1.141	0.000
607104.524	-0.064	1.141	0.000
607104.747	-0.064	1.140	0.000
607104.974	-0.064	1.140	0.000
607105.196	-0.064	1.139	0.000
607105.403	-0.064	1.139	0.000
607105.624	-0.064	1.138	0.000
607105.840	-0.064	1.138	0.000
607106.077	-0.064	1.137	0.000
607106.308	-0.064	1.137	0.000
607106.326	-0.064	1.136	0.000
607106.541	-0.064	1.136	0.000
607106.750	-0.064	1.136	0.000
607106.972	-0.064	1.135	0.000
607107.202	-0.064	1.135	0.000
607107.427	-0.064	1.135	0.000
607107.668	-0.065	1.134	0.000
607107.883	-0.066	1.134	0.000
607108.095	-0.067	1.134	0.000
607108.320	-0.070	1.133	0.000
607108.340	-0.073	1.133	0.000
607108.536	-0.076	1.133	0.000
607108.782	-0.079	1.133	0.000
607109.005	-0.080	1.133	0.000
607109.221	-0.079	1.133	0.000
607109.448	-0.079	1.132	0.000
607109.686	-0.082	1.132	0.000
607109.901	-0.086	1.132	0.000
607110.108	-0.089	1.132	0.000
607110.128	-0.090	1.132	0.000
607110.333	-0.093	1.133	0.000
607110.573	-0.097	1.133	0.000
607110.787	-0.101	1.133	0.000
607111.004	-0.104	1.133	0.000
607111.238	-0.104	1.133	0.000
607111.455	-0.107	1.134	0.000
607111.681	-0.110	1.134	0.000
607111.922	-0.112	1.134	0.000
607111.936	-0.116	1.135	0.000
607112.124	-0.118	1.135	0.000
607112.350	-0.119	1.135	0.000
607112.566	-0.119	1.136	0.000
607112.790	-0.119	1.136	0.000
607113.035	-0.120	1.137	0.000
607113.246	-0.119	1.137	0.000
607113.466	-0.117	1.138	0.000
607113.704	-0.116	1.139	0.000
607113.925	-0.112	1.139	0.000
607113.943	-0.108	1.139	0.000
607114.150	-0.104	1.140	0.000
607114.385	-0.101	1.141	0.000
607114.593	-0.099	1.141	0.000
607114.818	-0.097	1.142	0.000
607115.051	-0.095	1.143	0.000
607115.258	-0.094	1.144	0.000
607115.491	-0.094	1.144	0.000
607115.713	-0.095	1.145	0.000
607115.732	-0.097	1.146	0.000
607115.951	-0.099	1.147	0.000
607116.149	-0.102	1.148	0.000
607116.379	-0.103	1.149	0.000
607116.627	-0.106	1.150	0.000
607116.870	-0.109	1.151	0.000
607117.093	-0.112	1.151	0.000
607117.314	-0.113	1.152	0.000
607117.343	-0.115	1.153	0.000
607117.541	-0.116	1.154	0.000
607117.759	-0.116	1.155	0.000
607117.985	-0.116	1.156	0.000
607118.208	-0.117	1.157	0.000
607118.429	-0.119	1.158	0.000
607118.675	-0.120	1.159	0.000
607118.890	-0.121	1.160	0.000
607119.120	-0.122	1.161	0.000
607119.133	-0.123	1.161	0.000
607119.327	-0.125	1.162	0.000
607119.548	-0.125	1.163	0.000
607119.750	-0.125	1.164	0.000
607119.980	-0.125	1.165	0.000
607120.200	-0.124	1.165	0.000
607120.421	-0.124	1.166	0.000
607120.653	-0.120	1.167	0.000
607120.854	-0.116	1.168	0.000
607121.088	-0.114	1.169	0.000
607121.310	-0.113	1.170	0.000
607121.329	-0.112	1.170	0.000
607121.547	-0.112	1.171	0.000
607121.772	-0.113	1.172	0.000
607121.988	-0.114	1.172	0.000
607122.213	-0.115	1.173	0.000
607122.445	-0.117	1.174	0.000
607122.653	-0.118	1.174	0.000
607122.882	-0.119	1.175	0.000
607123.098	-0.120	1.175	0.000
607123.110	-0.119	1.175	0.000
607123.325	-0.120	1.176	0.000
607123.555	-0.120	1.176	0.000
607123.770	-0.119	1.177	0.000
607123.993	-0.119	1.177	0.000
607124.221	-0.118	1.177	0.000
607124.445	-0.117	1.178	0.000
607124.685	-0.116	1.178	0.000
607124.902	-0.113	1.178	0.000
607125.122	-0.112	1.178	0.000
607125.140	-0.111	1.178	0.000
607125.351	-0.112	1.178	0.000
607125.569	-0.111	1.179	0.000
607125.780	-0.110	1.179	0.000
607126.006	-0.109	1.179	0.000
607126.257	-0.109	1.179	0.000
607126.466	-0.108	1.178	0.000
607126.703	-0.108	1.178	0.000
607126.924	-0.108	1.178	0.000
607126.938	-0.107	1.178	0.000
607127.134	-0.104	1.178	0.000
607127.370	-0.102	1.177	0.000
607127.588	-0.100	1.177	0.000
607127.811	-0.099	1.177	0.000
607128.033	-0.098	1.176	0.000
607128.261	-0.096	1.176	0.000
607128.475	-0.094	1.176	0.000
607128.717	-0.092	1.175	0.000
607128.727	-0.090	1.175	0.000
607128.934	-0.088	1.175	0.000
607129.140	-0.087	1.174	0.000
607129.383	-0.085	1.174	0.000
607129.607	-0.084	1.173	0.000
607129.829	-0.083	1.173	0.000
607130.052	-0.083	1.172	0.000
607130.276	-0.083	1.171	0.000
607130.508	-0.083	1.171	0.000
607130.716	-0.083	1.170	0.000
607130.733	-0.084	1.169	0.000
607130.937	-0.085	1.169	0.000
607131.169	-0.086	1.168	0.000
607131.392	-0.088	1.167	0.000
607131.619	-0.092	1.166	0.000
607131.839	-0.095	1.166	0.000
607132.062	-0.099	1.165	0.000
607132.293	-0.101	1.164	0.000
607132.526	-0.104	1.163	0.000
607132.542	-0.108	1.163	0.000
607132.747	-0.111	1.162	0.000
607132.972	-0.115	1.161	0.000
607133.177	-0.119	1.160	0.000
607133.401	-0.122	1.159	0.000
607133.615	-0.126	1.159	0.000
607133.859	-0.129	1.158	0.000
607134.083	-0.133	1.157	0.000
607134.303	-0.136	1.156	0.000
607134.323	-0.139	1.156	0.000
607134.540	-0.141	1.155	0.000
607134.742	-0.141	1.154	0.000
607134.966	-0.141	1.153	0.000
607135.206	-0.141	1.153	0.000
607135.412	-0.141	1.152	0.000
607135.650	-0.139	1.151	0.000
607135.872	-0.138	1.150	0.000
607136.094	-0.137	1.150	0.000
607136.315	-0.135	1.149	0.000
607136.331	-0.134	1.148	0.000
607136.549	-0.134	1.148	0.000
607136.763	-0.133	1.147	0.000
607136.999	-0.133	1.147	0.000
607137.220	-0.132	1.146	0.000
607137.456	-0.132	1.145	0.000
607137.681	-0.132	1.145	0.000
607137.900	-0.132	1.144	0.000
607138.107	-0.132	1.144	0.000
607138.122	-0.132	1.144	0.000
607138.331	-0.132	1.143	0.000
607138.559	-0.132	1.143	0.000
607138.788	-0.132	1.142	0.000
607139.011	-0.133	1.142	0.000
607139.227	-0.134	1.141	0.000
607139.460	-0.135	1.141	0.000
607139.680	-0.133	1.140	0.000
607139.900	-0.131	1.140	0.000
607139.908	-0.131	1.140	0.000
607140.134	-0.131	1.139	0.000
607140.353	-0.131	1.139	0.000
607140.557	-0.130	1.139	0.000
607140.794	-0.129	1.138	0.000
607141.015	-0.129	1.138	0.000
607141.236	-0.130	1.138	0.000
607141.455	-0.130	1.137	0.000
607141.693	-0.129	1.137	0.000
607141.921	-0.128	1.137	0.000
607141.928	-0.126	1.136	0.000
607142.153	-0.124	1.136	0.000
607142.357	-0.124	1.136	0.000
607142.603	-0.124	1.135	0.000
607142.819	-0.124	1.135	0.000
607143.034	-0.122	1.135	0.000
607143.257	-0.122	1.134	0.000
607143.481	-0.122	1.134	0.000
607143.699	-0.122	1.134	0.000
607143.706	-0.123	1.133	0.000
607143.919	-0.124	1.133	0.000
607144.155	-0.126	1.133	0.000
607144.375	-0.128	1.133	0.000
607144.608	-0.128	1.132	0.000
607144.830	-0.128	1.132	0.000
607145.052	-0.129	1.132	0.000
607145.289	-0.130	1.131	0.000
607145.500	-0.130	1.131	0.000
607145.507	-0.130	1.131	0.000
607145.715	-0.129	1.131	0.000
607145.936	-0.128	1.130	0.000
607146.174	-0.126	1.130	0.000
607146.395	-0.124	1.130	0.000
607146.627	-0.123	1.129	0.000
607146.852	-0.122	1.129	0.000
607147.059	-0.120	1.129	0.000
607147.280	-0.119	1.128	0.000
607147.518	-0.118	1.128	0.000
607147.525	-0.117	1.128	0.000
607147.762	-0.117	1.128	0.000
607147.992	-0.116	1.127	0.000
607148.212	-0.115	1.127	0.000
607148.435	-0.114	1.126	0.000
607148.668	-0.113	1.126	0.000
607148.890	-0.112	1.125	0.000
607149.121	-0.111	1.125	0.000
607149.135	-0.110	1.125	0.000
607149.341	-0.108	1.124	0.000
607149.563	-0.108	1.124	0.000
607149.801	-0.107	1.123	0.000
607150.036	-0.107	1.123	0.000
607150.263	-0.108	1.122	0.000
607150.478	-0.109	1.122	0.000
607150.715	-0.108	1.121	0.000
607150.722	-0.109	1.121	0.000
607150.936	-0.111	1.121	0.000
607151.157	-0.113	1.120	0.000
607151.379	-0.115	1.120	0.000
607151.629	-0.115	1.119	0.000
607151.835	-0.116	1.118	0.000
607152.057	-0.116	1.118	0.000
607152.275	-0.116	1.117	0.000
607152.502	-0.117	1.116	0.000
607152.508	-0.119	1.116	0.000
607152.719	-0.120	1.116	0.000
607152.957	-0.119	1.115	0.000
607153.190	-0.119	1.114	0.000
607153.395	-0.121	1.114	0.000
607153.625	-0.122	1.113	0.000
607153.853	-0.124	1.112	0.000
607154.073	-0.125	1.111	0.000
607154.292	-0.126	1.111	0.000
607154.298	-0.127	1.111	0.000
607154.528	-0.129	1.110	0.000
607154.748	-0.131	1.109	0.000
607154.971	-0.131	1.108	0.000
607155.191	-0.131	1.108	0.000
607155.409	-0.131	1.107	0.000
607155.628	-0.132	1.106	0.000
607155.875	-0.133	1.105	0.000
607156.084	-0.134	1.104	0.000
607156.306	-0.134	1.103	0.000
607156.312	-0.134	1.103	0.000
607156.541	-0.133	1.103	0.000
607156.768	-0.132	1.102	0.000
607156.980	-0.131	1.101	0.000
607157.216	-0.131	1.100	0.000
607157.436	-0.131	1.099	0.000
607157.657	-0.130	1.098	0.000
607157.877	-0.128	1.098	0.000
607158.113	-0.126	1.097	0.000
607158.120	-0.126	1.097	0.000
607158.317	-0.126	1.096	0.000
607158.560	-0.126	1.095	0.000
607158.773	-0.128	1.094	0.000
607158.993	-0.130	1.093	0.000
607159.228	-0.132	1.092	0.000
607159.463	-0.135	1.091	0.000
607159.669	-0.138	1.091	0.000
607159.902	-0.142	1.090	0.000
607159.917	-0.146	1.089	0.000
607160.111	-0.149	1.088	0.000
607160.330	-0.152	1.087	0.000
607160.567	-0.154	1.086	0.000
607160.788	-0.156	1.085	0.000
607161.008	-0.156	1.084	0.000
607161.244	-0.158	1.084	0.000
607161.463	-0.159	1.083	0.000
607161.687	-0.159	1.082	0.000
607161.922	-0.158	1.081	0.000
607161.928	-0.157	1.081	0.000
607162.146	-0.157	1.080	0.000
607162.362	-0.157	1.079	0.000
607162.583	-0.157	1.078	0.000
607162.807	-0.156	1.078	0.000
607163.027	-0.155	1.077	0.000
607163.248	-0.154	1.076	0.000
607163.483	-0.153	1.075	0.000
607163.720	-0.152	1.074	0.000
607163.728	-0.151	1.073	0.000
607163.926	-0.150	1.073	0.000
607164.147	-0.148	1.072	0.000
607164.381	-0.147	1.071	0.000
607164.602	-0.145	1.070	0.000
607164.824	-0.144	1.069	0.000
607165.042	-0.142	1.069	0.000
607165.261	-0.141	1.068	0.000
607165.483	-0.140	1.067	0.000
607165.490	-0.139	1.066	0.000
607165.721	-0.140	1.065	0.000
607165.941	-0.140	1.065	0.000
607166.173	-0.142	1.064	0.000
607166.384	-0.142	1.063	0.000
607166.620	-0.142	1.063	0.000
607166.857	-0.142	1.062	0.000
607167.064	-0.143	1.061	0.000
607167.283	-0.143	1.061	0.000
607167.503	-0.143	1.060	0.000
607167.509	-0.142	1.060	0.000
607167.726	-0.142	1.059	0.000
607167.961	-0.140	1.059	0.000
607168.190	-0.139	1.058	0.000
607168.402	-0.138	1.057	0.000
607168.638	-0.137	1.057	0.000
607168.857	-0.137	1.056	0.000
607169.093	-0.136	1.056	0.000
607169.299	-0.135	1.055	0.000
607169.305	-0.134	1.055	0.000
607169.538	-0.134	1.055	0.000
607169.754	-0.134	1.054	0.000
607169.974	-0.132	1.054	0.000
607170.195	-0.131	1.053	0.000
607170.417	-0.129	1.053	0.000
607170.637	-0.128	1.052	0.000
607170.873	-0.126	1.052	0.000
607171.109	-0.125	1.051	0.000
607171.116	-0.123	1.051	0.000
607171.319	-0.121	1.050	0.000
607171.539	-0.120	1.050	0.000
607171.774	-0.119	1.049	0.000
607171.994	-0.119	1.049	0.000
607172.230	-0.119	1.049	0.000
607172.433	-0.119	1.048	0.000
607172.655	-0.119	1.048	0.000
607172.890	-0.119	1.048	0.000
607173.110	-0.120	1.047	0.000
607173.117	-0.122	1.047	0.000
607173.346	-0.123	1.047	0.000
607173.572	-0.124	1.046	0.000
607173.774	-0.126	1.046	0.000
607174.012	-0.127	1.046	0.000
607174.231	-0.128	1.045	0.000
607174.461	-0.128	1.045	0.000
607174.689	-0.129	1.045	0.000
607174.909	-0.130	1.044	0.000
607174.916	-0.129	1.044	0.000
607175.130	-0.129	1.044	0.000
607175.350	-0.129	1.044	0.000
607175.584	-0.129	1.043	0.000
607175.804	-0.128	1.043	0.000
607176.022	-0.128	1.043	0.000
607176.244	-0.129	1.042	0.000
607176.483	-0.129	1.042	0.000
607176.701	-0.129	1.042	0.000
607176.709	-0.129	1.041	0.000
607176.922	-0.130	1.041	0.000
607177.145	-0.130	1.041	0.000
607177.370	-0.130	1.040	0.000
607177.610	-0.130	1.040	0.000
607177.834	-0.130	1.040	0.000
607178.047	-0.127	1.039	0.000
607178.279	-0.125	1.039	0.000
607178.495	-0.122	1.039	0.000
607178.716	-0.120	1.038	0.000
607178.723	-0.117	1.038	0.000
607178.935	-0.115	1.038	0.000
607179.176	-0.114	1.037	0.000
607179.407	-0.113	1.037	0.000
607179.646	-0.112	1.037	0.000
607179.853	-0.112	1.036	0.000
607180.090	-0.114	1.036	0.000
607180.323	-0.115	1.035	0.000
607180.336	-0.116	1.035	0.000
607180.526	-0.118	1.035	0.000
607180.761	-0.120	1.034	0.000
607180.983	-0.123	1.034	0.000
607181.207	-0.125	1.033	0.000
607181.436	-0.126	1.033	0.000
607181.659	-0.129	1.032	0.000
607181.894	-0.130	1.032	0.000
607182.114	-0.131	1.031	0.000
607182.120	-0.133	1.031	0.000
607182.321	-0.133	1.031	0.000
607182.544	-0.133	1.030	0.000
607182.775	-0.131	1.030	0.000
607182.995	-0.130	1.029	0.000
607183.216	-0.129	1.029	0.000
607183.456	-0.127	1.028	0.000
607183.673	-0.124	1.028	0.000
607183.891	-0.121	1.027	0.000
607183.898	-0.117	1.027	0.000
607184.127	-0.113	1.027	0.000
607184.350	-0.110	1.026	0.000
607184.587	-0.106	1.025	0.000
607184.790	-0.103	1.025	0.000
607185.009	-0.103	1.024	0.000
607185.228	-0.102	1.024	0.000
607185.463	-0.101	1.023	0.000
607185.690	-0.100	1.022	0.000
607185.923	-0.100	1.022	0.000
607185.932	-0.101	1.021	0.000
607186.143	-0.103	1.020	0.000
607186.363	-0.106	1.020	0.000
607186.589	-0.108	1.019	0.000
607186.841	-0.110	1.019	0.000
607187.061	-0.113	1.018	0.000
607187.277	-0.117	1.017	0.000
607187.513	-0.120	1.017	0.000
607187.520	-0.123	1.017	0.000
607187.748	-0.126	1.016	0.000
607187.970	-0.130	1.015	0.000
607188.177	-0.133	1.015	0.000
607188.418	-0.136	1.014	0.000
607188.632	-0.140	1.013	0.000
607188.852	-0.142	1.013	0.000
607189.090	-0.144	1.012	0.000
607189.311	-0.145	1.011	0.000
607189.321	-0.146	1.011	0.000
607189.528	-0.147	1.010	0.000
607189.750	-0.146	1.010	0.000
607189.976	-0.143	1.009	0.000
607190.195	-0.143	1.008	0.000
607190.426	-0.142	1.008	0.000
607190.675	-0.143	1.007	0.000
607190.885	-0.143	1.006	0.000
607191.092	-0.142	1.006	0.000
607191.099	-0.142	1.006	0.000
607191.325	-0.142	1.005	0.000
