Timestamp	workload	arousal	Marker
607561.495	2.397	3.054	0.000
607561.710	2.391	3.050	0.000
607561.937	2.382	3.047	0.000
607562.179	2.375	3.043	0.000
607562.381	2.367	3.039	0.000
607562.387	2.360	3.036	0.000
607562.608	2.351	3.033	0.000
607562.828	2.342	3.029	0.000
607563.065	2.333	3.026	0.000
607563.305	2.320	3.023	0.000
607563.523	2.320	3.020	0.000
607563.756	2.309	3.017	0.000
607563.985	2.298	3.014	0.000
607563.993	2.287	3.014	0.000
607564.214	2.276	3.011	0.000
607564.434	2.268	3.008	0.000
607564.652	2.263	3.005	0.000
607564.871	2.257	3.002	0.000
607565.106	2.255	2.998	0.000
607565.343	2.255	2.995	0.000
607565.546	2.255	2.992	0.000
607565.783	2.254	2.989	0.000
607565.790	2.255	2.986	0.000
607566.005	2.257	2.983	0.000
607566.241	2.260	2.980	0.000
607566.463	2.263	2.977	0.000
607566.668	2.262	2.973	0.000
607566.888	2.265	2.970	0.000
607567.123	2.268	2.966	0.000
607567.343	2.270	2.963	0.000
607567.562	2.271	2.959	0.000
607567.797	2.275	2.956	0.000
607567.803	2.282	2.952	0.000
607568.017	2.282	2.948	0.000
607568.257	2.282	2.944	0.000
607568.463	2.283	2.940	0.000
607568.702	2.285	2.936	0.000
607568.902	2.287	2.931	0.000
607569.137	2.290	2.927	0.000
607569.355	2.292	2.922	0.000
607569.575	2.296	2.917	0.000
607569.580	2.299	2.917	0.000
607569.810	2.301	2.912	0.000
607570.029	2.303	2.906	0.000
607570.248	2.303	2.901	0.000
607570.483	2.303	2.895	0.000
607570.710	2.303	2.889	0.000
607570.926	2.303	2.883	0.000
607571.161	2.303	2.877	0.000
607571.378	2.303	2.871	0.000
607571.385	2.308	2.864	0.000
607571.600	2.314	2.858	0.000
607571.824	2.320	2.851	0.000
607572.073	2.325	2.844	0.000
607572.307	2.329	2.837	0.000
607572.527	2.329	2.830	0.000
607572.752	2.329	2.823	0.000
607572.982	2.331	2.815	0.000
607572.988	2.330	2.815	0.000
607573.218	2.329	2.808	0.000
607573.451	2.327	2.801	0.000
607573.644	2.322	2.794	0.000
607573.864	2.322	2.786	0.000
607574.087	2.317	2.779	0.000
607574.319	2.317	2.772	0.000
607574.536	2.317	2.765	0.000
607574.771	2.311	2.758	0.000
607574.989	2.306	2.752	0.000
607574.993	2.303	2.752	0.000
607575.222	2.300	2.745	0.000
607575.457	2.300	2.739	0.000
607575.667	2.300	2.733	0.000
607575.886	2.300	2.728	0.000
607576.108	2.302	2.723	0.000
607576.330	2.305	2.718	0.000
607576.553	2.309	2.714	0.000
607576.771	2.312	2.710	0.000
607576.776	2.315	2.710	0.000
607577.014	2.315	2.706	0.000
607577.240	2.323	2.703	0.000
607577.448	2.323	2.701	0.000
607577.683	2.327	2.699	0.000
607577.903	2.332	2.697	0.000
607578.138	2.336	2.696	1.000
607578.375	2.340	2.696	0.000
607578.573	2.346	2.697	0.000
607578.578	2.348	2.697	0.000
607578.792	2.349	2.698	0.000
607579.019	2.350	2.699	0.000
607579.277	2.352	2.702	0.000
607579.469	2.353	2.705	0.000
607579.710	2.351	2.708	0.000
607579.925	2.349	2.713	0.000
607580.146	2.346	2.717	0.000
607580.388	2.341	2.723	0.000
607580.601	2.338	2.729	0.000
607580.607	2.334	2.729	0.000
607580.822	2.328	2.736	0.000
607581.045	2.320	2.743	0.000
607581.274	2.312	2.751	0.000
607581.481	2.305	2.760	0.000
607581.703	2.301	2.769	0.000
607581.936	2.295	2.779	0.000
607582.156	2.288	2.789	0.000
607582.392	2.288	2.799	0.000
607582.402	2.283	2.799	0.000
607582.624	2.283	2.811	0.000
607582.826	2.283	2.822	0.000
607583.063	2.281	2.834	0.000
607583.284	2.280	2.846	0.000
607583.529	2.282	2.859	0.000
607583.719	2.285	2.872	0.000
607583.958	2.287	2.885	0.000
607584.175	2.291	2.899	0.000
607584.179	2.298	2.899	0.000
607584.410	2.306	2.912	0.000
